"Catalogue No","Short Description","ADR Number","Addition Date","SAP No","SAP Check Date","SAP Check Name","Material Owner","Status ADR","Item Status","Sync Status",INC,MGC,"Long Description","Raw Data","Service Type",UOM,Category,Cataloguer,"Cataloguer Name","Cataloguer Check Date","Std App","Std App Name","Std App Check Date","Proc App","Proc App Name","Proc App Check Date"
3373,"HEALTH SYS EVAL:A1;BLW 35YO;DOC EXAM",ABM2018000010,"2018-09-25 01:08:21",S00000000000000001,"2018-09-25 15:08:23",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: A1;AGE RANGE: BLW 35YO;DOCTOR EXAM: DOC EXAM;EYE REFRACTION,BLIND TEST: EYE REFR;FASTING BLOOD SUGAR: FAST BLOOD SGR;URINE COMPLETE TEST: URINE COMPL;COMPLETE BLODD TEST: COMP BLOOD;CHOLESTEROL TOTAL: CHOL TOT;CHOLESTEROL HDL: CHOL HDL","OCCUPATIONAL HEALTH/SAFETY:A1",ZSER,PKG,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:23",Validate,"STD APP S","2018-09-25 15:08:23",Validate,PROCUREMENT,"2018-09-25 15:08:23"
3374,"HEALTH SYS EVAL:A2;BLW 35YO;DOC EXAM",ABM2018000010,"2018-09-25 01:08:21",S00000000000000002,"2018-09-25 15:08:25",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: A2;AGE RANGE: BLW 35YO;DOCTOR EXAM: DOC EXAM;EYE REFRACTION,BLIND TEST: EYE REFR;RONTGEN: RONTG;FASTING BLOOD SUGAR: FAST BLOOD;URINE COMPLETE TEST: COMPL URINE;COMPLETE BLODD TEST: COMPL BLOOD;CHOLESTEROL TOTAL: CHOL TOT;CHOLESTEROL HDL: CHOL HDL","OCCUPATIONAL HEALTH/SAFETY:A2",ZSER,PKG,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:25",Validate,"STD APP S","2018-09-25 15:08:25",Validate,PROCUREMENT,"2018-09-25 15:08:25"
3375,"HEALTH SYS EVAL:B1;34-45 YO;DOC EXAM",ABM2018000010,"2018-09-25 01:08:21",S00000000000000003,"2018-09-25 15:08:26",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: B1;AGE RANGE: 34-45 YO;DOCTOR EXAM: DOC EXAM;EYE REFRACTION,BLIND TEST: EYE REFR;VIEWS & VISION DEPT: VISION;FASTING BLOOD SUGAR: FAST BLOOD;URINE COMPLETE TEST: COMPL URINE;COMPLETE BLODD TEST: COMPL BLOOD;SGOT: SGOT;SGPT: SGPT;CHOLESTEROL TOTAL: CHOL TOT;CHOLESTEROL HDL: CHOL HDL;CHOLESTEROL LDL: CHOL LDL;TRIGLYCERIDE: TRIGLY;UREUM: UREUM;CREATININ: CRTIN;URIC ACID: GOUT;EKG: EKG","OCCUPATIONAL HEALTH/SAFETY:B1",ZSER,PKG,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:26",Validate,"STD APP S","2018-09-25 15:08:26",Validate,PROCUREMENT,"2018-09-25 15:08:26"
3376,"HEALTH SYS EVAL:B2;34-45 YO;DOC EXAM",ABM2018000010,"2018-09-25 01:08:21",S00000000000000004,"2018-09-25 15:08:28",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: B2;AGE RANGE: 34-45 YO;DOCTOR EXAM: DOC EXAM;EYE REFRACTION,BLIND TEST: EYE REFR;VIEWS & VISION DEPT: VISION;RONTGEN PERIODIC: RONTG PERIOD;FASTING BLOOD SUGAR: FAST BLOOD;URINE COMPLETE TEST: COMPL URINE;COMPLETE BLODD TEST: COMPL BLOOD;SGOT: SGOT;SGPT: SGPT;CHOLESTEROL TOTAL: CHOL TOT;CHOLESTEROL HDL: CHOL LDL;CHOLESTEROL LDL: CHOL HDL;TRIGLYCERIDE: TRIGLY;UREUM: UREUM;CREATININ: CRTIN;URIC ACID: GOUT;EKG: EKG","OCCUPATIONAL HEALTH/SAFETY:B2",ZSER,PKG,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:28",Validate,"STD APP S","2018-09-25 15:08:28",Validate,PROCUREMENT,"2018-09-25 15:08:28"
3377,"HEALTH SYS EVAL:C1;ABV 45YO;DOC EXAM",ABM2018000010,"2018-09-25 01:08:21",S00000000000000005,"2018-09-25 15:08:29",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: C1;AGE RANGE: ABV 45YO;DOCTOR EXAM: DOC EXAM;EYE REFRACTION,BLIND TEST: EYE REFR;VIEWS & VISION DEPT: VISION;FASTING BLOOD SUGAR: FAST BLOOD;URINE COMPLETE TEST: COMPL URINE;COMPLETE BLODD TEST: COMPL BLOOD;SGOT: SGOT;SGPT: SGPT;CHOLESTEROL TOTAL: CHOL TOT;CHOLESTEROL HDL: CHOL HDL;CHOLESTEROL LDL: CHOL LDL;TRIGLYCERIDE: TRIGLY;UREUM: UREUM;CREATININ: CRTIN;URIC ACID: GOUT;TREADMILL: TRDMLL","OCCUPATIONAL HEALTH/SAFETY:C1",ZSER,PKG,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:29",Validate,"STD APP S","2018-09-25 15:08:29",Validate,PROCUREMENT,"2018-09-25 15:08:29"
3378,"HEALTH SYS EVAL:C2;ABV 45YO;DOC EXAM",ABM2018000010,"2018-09-25 01:08:21",S00000000000000006,"2018-09-25 15:08:31",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: C2;AGE RANGE: ABV 45YO;DOCTOR EXAM: DOC EXAM;EYE REFRACTION,BLIND TEST: EYE REFR;VIEWS & VISION DEPT: VISION;RONTGEN: RONTG;FASTING BLOOD SUGAR: FAST BLOOD;URINE COMPLETE TEST: COMPL URINE;COMPLETE BLODD TEST: COMPL BLOOD;SGOT: SGOT;SGPT: SGPT;CHOLESTEROL TOTAL: CHOL TOT;CHOLESTEROL HDL: CHOL HDL;CHOLESTEROL LDL: CHOL LDL;TRIGLYCERIDE: TRIGLY;UREUM: UREUM;CREATININ: CRTIN;URIC ACID: GOUT;TREADMILL: TRDMLL","OCCUPATIONAL HEALTH/SAFETY:C2",ZSER,PKG,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:31",Validate,"STD APP S","2018-09-25 15:08:31",Validate,PROCUREMENT,"2018-09-25 15:08:31"
3379,"HEALTH SYS EVAL:D1;OPS EPMLY;DOC EXAM",ABM2018000010,"2018-09-25 01:08:21",S00000000000000007,"2018-09-25 15:08:32",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: D1;AGE RANGE: OPS EPMLY;DOCTOR EXAM: DOC EXAM;EYE REFRACTION,BLIND TEST: EYE REFR;VIEWS & VISION DEPT: VISION;RONTGEN: RONTG;FASTING BLOOD SUGAR: FAST BLOOD;URINE COMPLETE TEST: COMPL URINE;COMPLETE BLODD TEST: COMPL BLOOD;SGOT: SGOT;SGPT: SGPT;CHOLESTEROL TOTAL: CHOL TOT;CHOLESTEROL HDL: CHOL HDL;CHOLESTEROL LDL: CHOL LDL;TRIGLYCERIDE: TRIGLY;UREUM: UREUM;CREATININ: CRTIN;URIC ACID: GOUT;EKG: EKG","OCCUPATIONAL HEALTH/SAFETY:D1",ZSER,PKG,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:32",Validate,"STD APP S","2018-09-25 15:08:32",Validate,PROCUREMENT,"2018-09-25 15:08:32"
3380,"HEALTH SYS EVAL:A LA CARTE;RONTGEN",ABM2018000010,"2018-09-25 01:08:21",S00000000000000008,"2018-09-25 15:08:34",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: A LA CARTE;RONTGEN: RONTGEN","OCCUPATIONAL HEALTH/SAFETY:RONTGEN",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:34",Validate,"STD APP S","2018-09-25 15:08:34",Validate,PROCUREMENT,"2018-09-25 15:08:34"
3381,"HEALTH SYS EVAL:A LA CARTE;HBS AG",ABM2018000010,"2018-09-25 01:08:21",S00000000000000009,"2018-09-25 15:08:35",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: A LA CARTE;HBS AG (HEPATITIS B): HBS AG","OCCUPATIONAL HEALTH/SAFETY",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:35",Validate,"STD APP S","2018-09-25 15:08:35",Validate,PROCUREMENT,"2018-09-25 15:08:35"
3382,"HEALTH SYS EVAL:A LA CARTE;ANTI HBS",ABM2018000010,"2018-09-25 01:08:21",S00000000000000010,"2018-09-25 15:08:37",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: A LA CARTE;HEPATITIS B SCREENING (HBSAG + ANTI HBSAG): ANTI HBS","OCCUPATIONAL HEALTH/SAFETY:ANTI HBS",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:37",Validate,"STD APP S","2018-09-25 15:08:37",Validate,PROCUREMENT,"2018-09-25 15:08:37"
